Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf



CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"5925","NC70SE 17","Achork","Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","275500","904800","HIGHLAND","SUTHERLAND","ROGART","NC 755 048","http://canmore.org.uk/site/5925",
"8686","ND24SE 10","Camster, Long","Chambered Cairn (Neolithic)","326010","944200","HIGHLAND","CAITHNESS","WICK","ND 2601 4420","http://canmore.org.uk/site/8686",
"8693","ND24SE 16","Camster, Round","Chambered Cairn (Neolithic)","326080","944030","HIGHLAND","CAITHNESS","WICK","ND 2608 4403","http://canmore.org.uk/site/8693",
"10946","NG30SE 10","Rum, Kilmory, St Mary's Church Burial Ground","Burial Ground (Period Unassigned), Church (Period Unassigned)","136130","803660","HIGHLAND","INVERNESS-SHIRE","SMALL ISLES","NG 3613 0366","http://canmore.org.uk/site/10946",
"11571","NG62SE 10","Skye, Breakish, Cill Ashik","Burial Ground (Period Unassigned), Church (Period Unassigned)","168670","824260","HIGHLAND","INVERNESS-SHIRE","STRATH","NG 6867 2426","http://canmore.org.uk/site/11571",
"11797","NG81NW 6","Dun Troddan","Boundary Marker(S) (19th Century), Broch (Iron Age)","183400","817244","HIGHLAND","INVERNESS-SHIRE","GLENELG (SKYE AND LOCHALSH)","NG 83400 17244","http://canmore.org.uk/site/11797",
"12049","NG97SW 1","Isle Maree","Burial Ground (Period Unassigned), Chapel (Period Unassigned), Cross Slab(S) (Early Medieval), Well (Period Unassigned)","193100","872360","HIGHLAND","ROSS AND CROMARTY","GAIRLOCH","NG 9310 7236","http://canmore.org.uk/site/12049",
"14277","NH74SE 3","Balnuaran Of Clava, Centre","Ring Cairn (Bronze Age), Stone Circle (Bronze Age)","275710","844430","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7571 4443","http://canmore.org.uk/site/14277",
"15177","NH85SE 23","Kinchyle","Barrow(S) (Prehistoric), Enclosure(S) (Period Unassigned), Pit(S) (Period Unassigned), Ring Ditch(S) (Period Unassigned), Square Barrow (Iron Age)","285900","853100","HIGHLAND","NAIRN","CROY AND DALCROSS (NAIRN)","NH 8590 5310","http://canmore.org.uk/site/15177",
"15303","NH87SW 9","Nigg, Bishop's House","Bishops Palace (Medieval)","280300","871700","HIGHLAND","ROSS AND CROMARTY","NIGG (ROSS AND CROMARTY)","NH 803 717","http://canmore.org.uk/site/15303",
"15536","NH95NW 1","Mavistoun","Village (Medieval)","293000","859800","HIGHLAND","NAIRN","AULDEARN","NH 930 598","http://canmore.org.uk/site/15536",
"16753","NJ30SW 5","Mullach","Enclosure (Period Unassigned), Farmstead (Period Unassigned)","332200","801100","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 322 011","http://canmore.org.uk/site/16753",
"17169","NJ42NE 1","Tap O' Noth","Enclosure (Period Unassigned), Fort (Period Unassigned), Ring Ditch House(S) (Prehistoric), Roundhouse(S) (Prehistoric), Vitrified Stone (Period Unassigned)","348450","829300","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 4845 2930","http://canmore.org.uk/site/17169",
"25227","NN80NW 10","Ardoch","Roman Fort (Roman)","283900","709900","PERTH AND KINROSS","PERTHSHIRE","ARDOCH","NN 8390 0990","http://canmore.org.uk/site/25227",
"39702","NR93SW 13","Arran, Machrie Moor 2","Cist (Neol/bronze Age), Inhumation (Prehistoric)(Possible), Stone Circle (Neol/bronze Age), Flake(S) (Flint), Food Vessel, Millstone(S)","191130","632420","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 91130 32420","http://canmore.org.uk/site/39702",
"40880","NS20SE 290","Dalquharran Castle","Country House (18th Century)","227055","602161","SOUTH AYRSHIRE","AYRSHIRE","DAILLY","NS 27055 02161","http://canmore.org.uk/site/40880",
"40959","NS21SW 10","Culzean Castle","Castle (18th Century), Country House (Period Unassigned), Steps (Period Unassigned), Tower House (18th Century), Wall (Period Unassigned)","223265","610285","SOUTH AYRSHIRE","AYRSHIRE","KIRKOSWALD","NS 23265 10285","http://canmore.org.uk/site/40959",
"41169","NS25NW 220","Kelburn Castle","Country House (Period Unassigned), Tower House (Medieval)","221710","656704","NORTH AYRSHIRE","AYRSHIRE","LARGS","NS 21710 56704","http://canmore.org.uk/site/41169",
"45636","NS74SW 9","Strathaven, Stonehouse Road, Avondale Castle","Castle (Medieval)","270349","644441","SOUTH LANARKSHIRE","LANARKSHIRE","AVONDALE","NS 70349 44441","http://canmore.org.uk/site/45636",
"46408","NS81SE 2","Wanlockhead","Lead Mine(S) (18th Century), Water Pumping Engine (19th Century)","287000","613000","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","SANQUHAR","NS 87 13","http://canmore.org.uk/site/46408",
"47271","NS89SW 4","Cambuskenneth Abbey","Abbey (Medieval), Bell Tower (Period Unassigned)","280852","693961","STIRLING","STIRLINGSHIRE","STIRLING","NS 80852 93961","http://canmore.org.uk/site/47271",
"49127","NT07NE 130","Hopetoun House","Country House (18th Century), Hospital (First World War)","308856","679016","WEST LOTHIAN","WEST LOTHIAN","ABERCORN (WEST LOTHIAN)","NT 08856 79016","http://canmore.org.uk/site/49127",
"51114","NT20NW 7","Strongcleugh","Farmstead (Period Unassigned), Sheepfold(S) (Period Unassigned)","322350","607550","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ESKDALEMUIR","NT 2235 0755","http://canmore.org.uk/site/51114",
"51139","NT20SW 10","Upper Davington","Cultivation Remains (Period Unassigned), Settlement (Period Unassigned)","323100","602300","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ESKDALEMUIR","NT 231 023","http://canmore.org.uk/site/51139",
"51637","NT25NW 250","Penicuik, Penicuik House","Country House (18th Century)","321726","659208","MIDLOTHIAN","MIDLOTHIAN","PENICUIK (MIDLOTHIAN)","NT 21726 59208","http://canmore.org.uk/site/51637",
"51812","NT26SE 22","Roslin, Roslin Chapel","Chapel (15th Century)","327489","663073","MIDLOTHIAN","MIDLOTHIAN","LASSWADE","NT 27489 63073","http://canmore.org.uk/site/51812",
"52202","NT27SE 181","Edinburgh, New Town, General","General View","325000","674000","EDINBURGH, CITY OF","MIDLOTHIAN","EDINBURGH (EDINBURGH, CITY OF)","NT 2500 7400","http://canmore.org.uk/site/52202",
"52411","NT27SE 367","Edinburgh, Princes Street, General Register House","Register Office (18th Century), War Memorial (20th Century)","325836","674048","EDINBURGH, CITY OF","MIDLOTHIAN","EDINBURGH (EDINBURGH, CITY OF)","NT 25836 74048","http://canmore.org.uk/site/52411",
"52569","NT27SW 10","Edinburgh, Craigcrook Road, Craigcrook Castle","Castle (Medieval)","321068","674272","EDINBURGH, CITY OF","MIDLOTHIAN","EDINBURGH (EDINBURGH, CITY OF)","NT 21068 74272","http://canmore.org.uk/site/52569",
"52790","NT28NW 22","Burntisland, Tolbooths","Tolbooth(S) (Period Unassigned)","323080","685760","FIFE","FIFE","BURNTISLAND","NT 2308 8576","http://canmore.org.uk/site/52790",
"52813","NT28NW 4","Burntisland, East Port","Gateway (Period Unassigned)","323460","685900","FIFE","FIFE","BURNTISLAND","NT 2346 8590","http://canmore.org.uk/site/52813",
"53513","NT36NW 780","Melville Castle","Castle (Medieval), Country House (Period Unassigned), Hotel (Period Unassigned)","331030","666981","MIDLOTHIAN","MIDLOTHIAN","LASSWADE","NT 31030 66981","http://canmore.org.uk/site/53513",
"53605","NT36SW 10","Dalhousie Castle","Country House (Period Unassigned), Tower House (15th Century)","332345","663595","MIDLOTHIAN","MIDLOTHIAN","COCKPEN","NT 32345 63595","http://canmore.org.uk/site/53605",
"58068","NT71SE 15","Woden Law","Fort (Prehistoric), Linear Earthwork(S) (Prehistoric)","376777","612547","SCOTTISH BORDERS, THE","ROXBURGHSHIRE","HOWNAM","NT 76777 12547","http://canmore.org.uk/site/58068",
"64408","NX74NW 12","Dundrennan Abbey","Abbey (Medieval)","274941","547506","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","RERRICK","NX 74941 47506","http://canmore.org.uk/site/64408",
"64698","NX76SW 7","Threave Castle","Artillery Fortification (15th Century), Castle (Medieval), Harbour (Period Unassigned)","273920","562281","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","BALMAGHIE","NX 73920 62281","http://canmore.org.uk/site/64698",
"67164","NY28NE 2","Calkin","Cultivation Remains (Period Unassigned), Farmstead (Period Unassigned)","329700","588400","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","WESTERKIRK","NY 297 884","http://canmore.org.uk/site/67164",
"67320","NY29SE 25","Bailiehill North","Farmstead (Period Unassigned)","325950","591020","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","WESTERKIRK","NY 2595 9102","http://canmore.org.uk/site/67320",
"67354","NY29SE 56","River Esk","Farmstead (Period Unassigned), Grave (Period Unassigned)","326410","592140","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","WESTERKIRK","NY 2641 9214","http://canmore.org.uk/site/67354",
"67365","NY29SE 66","Westerker Rig","Farmstead (Period Unassigned)","329410","592370","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","WESTERKIRK","NY 2941 9237","http://canmore.org.uk/site/67365",
"67392","NY29SW 25","Tanlawhill","Farmstead (Period Unassigned), Kiln (Period Unassigned), Quarry Scoop(S) (Period Unassigned), Tower House (Medieval)","323700","591050","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ESKDALEMUIR","NY 2370 9105","http://canmore.org.uk/site/67392",
"67398","NY29SW 30","Blackhouse Hill","Cultivation Remains (Period Unassigned), Farmstead (Period Unassigned)","323140","592390","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ESKDALEMUIR","NY 2314 9239","http://canmore.org.uk/site/67398",
"67399","NY29NE 77","'andrew Battyes' Tower'","Tower House (Medieval)","325200","599100","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ESKDALEMUIR","NY 252 991","http://canmore.org.uk/site/67399",
"67566","NY37SW 3","Chapel-of-logan","Chapel (Period Unassigned)","331000","573000","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","HALF MORTON","NY 31 73","http://canmore.org.uk/site/67566",
"67718","NY38SW 15","Naze Hill, Becks","Farmstead (Period Unassigned), Settlement (Period Unassigned)","333900","584420","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","LANGHOLM","NY 3390 8442","http://canmore.org.uk/site/67718",
"67775","NY39NW 5","Megdale","Farmstead (Period Unassigned)","330150","595370","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","WESTERKIRK","NY 3015 9537","http://canmore.org.uk/site/67775",
"79646","NJ51SE 22","Cairnballoch","Rig And Furrow (Medieval)","356500","814000","ABERDEENSHIRE","ABERDEENSHIRE","ALFORD","NJ 565 140","http://canmore.org.uk/site/79646",
"79648","NJ51SE 23","North Nib","Building (Period Unassigned), Rig And Furrow (Medieval)","356070","813380","ABERDEENSHIRE","ABERDEENSHIRE","ALFORD","NJ 5607 1338","http://canmore.org.uk/site/79648",
"79928","NJ50SE 32","Cairnmude","Clearance Cairn(S) (Period Unassigned), Rig And Furrow (Medieval)","358380","803050","ABERDEENSHIRE","ABERDEENSHIRE","LUMPHANAN","NJ 5838 0305","http://canmore.org.uk/site/79928",
"79929","NJ50SE 33","Minen","Cairnfield (Period Unassigned), Field System (Period Unassigned)","359360","802470","ABERDEENSHIRE","ABERDEENSHIRE","LUMPHANAN","NJ 5936 0247","http://canmore.org.uk/site/79929",
"79930","NJ50SE 34","Hilton","Enclosure (Period Unassigned)(Possible), Quarry Scoop(S) (Period Unassigned)(Possible)","358600","803400","ABERDEENSHIRE","ABERDEENSHIRE","LUMPHANAN","NJ 586 034","http://canmore.org.uk/site/79930",
"80691","NJ11NE 35","Lag Na Cuilionn","Farmstead (Period Unassigned)","316500","819900","MORAY","BANFFSHIRE","KIRKMICHAEL (MORAY)","NJ 165 199","http://canmore.org.uk/site/80691",
"80692","NJ11NE 36","Lynachork","Farmstead (Period Unassigned)","315700","819900","MORAY","BANFFSHIRE","KIRKMICHAEL (MORAY)","NJ 157 199","http://canmore.org.uk/site/80692",
"80697","NJ20NE 15","Burnside, Corgarff","Farmstead (Period Unassigned), Rig And Furrow (Medieval)","328370","808660","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2837 0866","http://canmore.org.uk/site/80697",
"80698","NJ20NE 16","Burnside, Limekiln","Lime Kiln (Period Unassigned)","328300","808990","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2830 0899","http://canmore.org.uk/site/80698",
"80699","NJ20NE 17","Aldamph","Farmstead (Period Unassigned)","327230","807550","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2723 0755","http://canmore.org.uk/site/80699",
"80700","NJ20NE 18","Tom Ban","Building (Period Unassigned)","326820","808030","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2682 0803","http://canmore.org.uk/site/80700",
"80701","NJ20NE 19","Burnside","Vegetation Mark(S) (Period Unassigned)","328100","809000","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 281 090","http://canmore.org.uk/site/80701",
"80702","NJ20NE 20","Tom Ban","Farmstead (Period Unassigned)","326830","808110","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2683 0811","http://canmore.org.uk/site/80702",
"80704","NJ30NW 9","Fleuchats","Hut Circle (Prehistoric)(Possible)","333610","808890","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3361 0889","http://canmore.org.uk/site/80704",
"80705","NJ41NE 41","Corbanchory","Earthwork (Period Unassigned)","348600","815100","ABERDEENSHIRE","ABERDEENSHIRE","LEOCHEL-CUSHNIE","NJ 486 151","http://canmore.org.uk/site/80705",
"80706","NJ41NE 42","Corbanchory","Enclosure (Period Unassigned)(Possible)","348500","815000","ABERDEENSHIRE","ABERDEENSHIRE","LEOCHEL-CUSHNIE","NJ 485 150","http://canmore.org.uk/site/80706",
"80707","NJ41SW 39","Cairnbeg Hill","Building(S) (Period Unassigned)","340220","813100","ABERDEENSHIRE","ABERDEENSHIRE","TOWIE","NJ 4022 1310","http://canmore.org.uk/site/80707",
"80708","NJ41SW 40","Cairnbeg Hill","Enclosure (Period Unassigned)","340150","813070","ABERDEENSHIRE","ABERDEENSHIRE","TOWIE","NJ 4015 1307","http://canmore.org.uk/site/80708",
"80709","NJ41SE 24","Mill Of Brux","Enclosure (Period Unassigned), Ring Ditch (Period Unassigned)(Possible)","348000","814600","ABERDEENSHIRE","ABERDEENSHIRE","TOWIE","NJ 480 146","http://canmore.org.uk/site/80709",
"80710","NJ42SE 25","Govals","Enclosure (Period Unassigned), Rig And Furrow (Medieval)","347000","823400","ABERDEENSHIRE","ABERDEENSHIRE","AUCHINDOIR AND KEARN","NJ 470 234","http://canmore.org.uk/site/80710",
"80713","NJ52NE 45","Berrybrae","Rig And Furrow (Medieval)","356360","829330","ABERDEENSHIRE","ABERDEENSHIRE","KENNETHMONT","NJ 5636 2933","http://canmore.org.uk/site/80713",
"80718","NJ61NW 15","Bridge Of Keig","Rig And Furrow (Medieval)","362010","818600","ABERDEENSHIRE","ABERDEENSHIRE","KEIG","NJ 6201 1860","http://canmore.org.uk/site/80718",
"80719","NJ62NW 52","Dunnideer","Rig And Furrow (Medieval)","361430","828120","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 6143 2812","http://canmore.org.uk/site/80719",
"80722","NJ91NE 16","Blackdog","Rig And Furrow (Medieval)","396250","815100","ABERDEENSHIRE","ABERDEENSHIRE","BELHELVIE","NJ 9625 1510","http://canmore.org.uk/site/80722",
"80725","NJ62NE 54","Upperton","Enclosure (Period Unassigned)","366110","825460","ABERDEENSHIRE","ABERDEENSHIRE","OYNE","NJ 6611 2546","http://canmore.org.uk/site/80725",
"80734","NO79SW 50","The Ord","Rig And Furrow (Medieval)","374400","791300","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 744 913","http://canmore.org.uk/site/80734",
"80739","NJ72SE 120","Conglas","Rig And Furrow (Medieval)","376200","823200","ABERDEENSHIRE","ABERDEENSHIRE","INVERURIE","NJ 762 232","http://canmore.org.uk/site/80739",
"80755","NJ86SW 18","Kiln Den, Tore Of Troup","Building(S) (Period Unassigned), Enclosure (Period Unassigned)","383100","860760","ABERDEENSHIRE","ABERDEENSHIRE","ABERDOUR (BANFF AND BUCHAN)","NJ 8310 6076","http://canmore.org.uk/site/80755",
"80756","NJ86SW 19","Long Glen, Tore Of Troup","Hut Circle (Prehistoric)","384180","861130","ABERDEENSHIRE","ABERDEENSHIRE","ABERDOUR (BANFF AND BUCHAN)","NJ 8418 6113","http://canmore.org.uk/site/80756",
"83336","NJ30NE 3","City Hillock","Field Boundary(S) (Period Unassigned)","339700","809200","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 397 092","http://canmore.org.uk/site/83336",
"83337","NJ30NE 4","Bogston","Farmstead (Period Unassigned), Rig And Furrow (Medieval)","339740","809460","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 3974 0946","http://canmore.org.uk/site/83337",
"83734","NJ81NW 56","Mill Of Fintray","Enclosure (Period Unassigned)(Possible)","383400","816500","ABERDEENSHIRE","ABERDEENSHIRE","FINTRAY","NJ 834 165","http://canmore.org.uk/site/83734",
"86527","NJ56SE 20","Highfield","Agricultural Cropmark(S) (Modern)","356720","864290","ABERDEENSHIRE","BANFFSHIRE","FORDYCE","NJ 5672 6429","http://canmore.org.uk/site/86527",
"86532","NJ94NW 49","Castle Hill, Maud","Rig And Furrow (Medieval)","394400","846500","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 944 465","http://canmore.org.uk/site/86532",
"86537","NJ96SE 26","Middletack","Enclosure (Period Unassigned)","399760","860440","ABERDEENSHIRE","ABERDEENSHIRE","RATHEN","NJ 9976 6044","http://canmore.org.uk/site/86537",
"86538","NJ96SE 27","Middletack","Enclosure (Period Unassigned)(Possible)","399540","860210","ABERDEENSHIRE","ABERDEENSHIRE","RATHEN","NJ 9954 6021","http://canmore.org.uk/site/86538",
"86540","NJ96SE 28","Middletack","Enclosure(S) (Period Unassigned)","399420","860320","ABERDEENSHIRE","ABERDEENSHIRE","RATHEN","NJ 9942 6032","http://canmore.org.uk/site/86540",
"86541","NK14NW 141","Inverugie","Enclosure (Period Unassigned)","410050","848630","ABERDEENSHIRE","ABERDEENSHIRE","ST FERGUS","NK 1005 4863","http://canmore.org.uk/site/86541",
"86725","NY27NW 77","'nucke'","Tower House (Medieval)","323000","575000","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","MIDDLEBIE","NY 23 75","http://canmore.org.uk/site/86725",
"86726","NY27NW 78","Albie","Tower House (Medieval)","324600","577100","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","MIDDLEBIE","NY 246 771","http://canmore.org.uk/site/86726",
"86727","NY27NW 79","Scotsbrig","Tower House (Medieval)","321400","576900","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","MIDDLEBIE","NY 214 769","http://canmore.org.uk/site/86727",
"86777","NY18NW 46","'hukburne'","Tower House (Medieval)","314400","588700","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","APPLEGARTH","NY 144 887","http://canmore.org.uk/site/86777",
"86781","NY17SW 35","Dormont","Tower House (Medieval)","311200","574900","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","DALTON","NY 112 749","http://canmore.org.uk/site/86781",
"86782","NY17SW 36","Kirkwood","Tower House (Medieval)","312100","574400","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","DALTON","NY 121 744","http://canmore.org.uk/site/86782",
"86785","NY17SE 78","Knockhill","Tower House (Medieval)","316600","574000","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","HODDOM","NY 166 740","http://canmore.org.uk/site/86785",
"86786","NY17SE 79","Luce","Tower House (Medieval)","318900","571300","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","HODDOM","NY 189 713","http://canmore.org.uk/site/86786",
"86787","NY16NE 147","Warmanbie","Tower House (Medieval)","319500","568900","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","ANNAN","NY 195 689","http://canmore.org.uk/site/86787",
"86788","NY26NW 26","'dundronok'","Tower House (Medieval)","323100","565900","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","DORNOCK","NY 231 659","http://canmore.org.uk/site/86788",
"86791","NY26NE 36","Calvertsholm","Tower House (Medieval)","328100","568900","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","KIRKPATRICK-FLEMING","NY 281 689","http://canmore.org.uk/site/86791",
"86794","NY26NE 40","Baurch","Tower House (Medieval)","328500","565800","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","GRETNA","NY 285 658","http://canmore.org.uk/site/86794",
"86802","NY26SE 6","Torduff","Tower House (Medieval)","325800","564600","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","GRETNA","NY 258 646","http://canmore.org.uk/site/86802",
"86811","NY28SE 66","Kirtlehead","Tower House (Medieval)","326900","582300","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","MIDDLEBIE","NY 269 823","http://canmore.org.uk/site/86811",
"86815","NY29SE 86","Westerkirk","Tower House (Medieval)","329400","591600","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","WESTERKIRK","NY 294 916","http://canmore.org.uk/site/86815",
"86820","NY36NW 56","Redkirk","Tower House (Medieval)","330000","565900","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","GRETNA","NY 300 659","http://canmore.org.uk/site/86820",
"87064","NY38NW 58","Staplegordon","Tower House (Medieval)","334000","588000","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","LANGHOLM","NY 34 88","http://canmore.org.uk/site/87064",
"87197","NJ42NE 64","Rhynie","Enclosure(S) (Period Unassigned)","349900","826800","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 499 268","http://canmore.org.uk/site/87197",
"87204","NJ62NW 53","Priestwells","Ring Ditch (Period Unassigned)","361000","826300","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 610 263","http://canmore.org.uk/site/87204",
"87205","NJ62NW 54","Dunnydeer House","Ring Ditch (Period Unassigned)","361920","827750","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 6192 2775","http://canmore.org.uk/site/87205",
"87242","NO59NW 44","Mains Of Aboyne","Ring Ditch(S) (Period Unassigned), Souterrain(S) (Prehistoric)","352300","799100","ABERDEENSHIRE","ABERDEENSHIRE","ABOYNE AND GLENTANAR","NO 523 991","http://canmore.org.uk/site/87242",
"87243","NO79NW 39","Crathes Castle Policies","Cropmark (Period Unknown), Plantation Bank (Period Unassigned)(Possible)","374120","797020","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 7412 9702","http://canmore.org.uk/site/87243",
"87244","NO79NW 40","Crathes Castle Policies","Cropmark(S) (Period Unknown), Post Hole(S) (Period Unassigned)(Possible)","374140","796950","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 7414 9695","http://canmore.org.uk/site/87244",
"87249","NO87SW 62","Sillyflat","Cropmark(S) (Period Unknown), Enclosure (Period Unassigned)","382900","771800","ABERDEENSHIRE","KINCARDINESHIRE","BERVIE","NO 829 718","http://canmore.org.uk/site/87249",
"87251","NO86NW 15","Nether Birnie","Cropmark(S) (Period Unknown), Ring Ditch (Period Unassigned)","380310","768350","ABERDEENSHIRE","KINCARDINESHIRE","BENHOLM","NO 8031 6835","http://canmore.org.uk/site/87251",
"87277","NO88SE 38","Roslynfield","Souterrain (Prehistoric)(Possible)","387500","780600","ABERDEENSHIRE","KINCARDINESHIRE","DUNNOTTAR","NO 875 806","http://canmore.org.uk/site/87277",
"87279","NO88SE 39","Uras","Cropmark(S) (Period Unknown)","386750","782000","ABERDEENSHIRE","KINCARDINESHIRE","DUNNOTTAR","NO 8675 8200","http://canmore.org.uk/site/87279",
"87282","NO88SE 40","Easterside","Cropmark(S) (Period Unknown), Enclosure (Period Unassigned), Ring Ditch (Period Unassigned)","387000","782900","ABERDEENSHIRE","KINCARDINESHIRE","DUNNOTTAR","NO 870 829","http://canmore.org.uk/site/87282",
"87283","NO88SE 41","Uras","Ring Ditch(S) (Period Unassigned)(Possible)","387400","781500","ABERDEENSHIRE","KINCARDINESHIRE","DUNNOTTAR","NO 874 815","http://canmore.org.uk/site/87283",
